name,speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1,24,1051.2,1501.812619,0,9656.680938,168,0
older_adult1,1,18,826.2,1501.812619,0,6686.182578,126,0
older_adult2,1,36,1652.4,823.9220222,1,12853.31874,252,138.7996268
older_adult3,1,36,1576.8,1073.200673,2,14698.31268,252,171.308521
older_adult4,1,24,1051.2,823.9220222,0,8622.675078,168,0
older_adult0,1.0,24.0,1051.2,1501.8126194844115,0,13906.790672950245,168,0.0
older_adult1,1.0,18.0,826.2,1501.8126194844115,0,10281.885422416062,126,0.0
older_adult2,1.0,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.0,36.0,1576.8,1073.2006731506199,2,21032.0279347387,252,195.58533445845282
older_adult4,1.0,24.0,1051.2,823.9220222271194,0,14120.18093086157,168,0.0
older_adult0,1.0,24.0,1051.2,1501.8126194844115,0,12164.205161896994,168,0.0
older_adult1,1.0,18.0,826.2,1501.8126194844115,0,10521.922954659032,126,0.0
older_adult2,1.0,36.0,1652.4,823.9220222271194,2,20937.12126844436,252,145.8758057428458
older_adult3,1.0,36.0,1576.8,1073.2006731506199,2,20618.945948425902,252,167.1154347338486
older_adult4,1.0,24.0,1051.2,823.9220222271194,0,13014.685938415645,168,0.0
older_adult0,1.0,24.0,1051.2,1501.8126194844115,0,13275.167643818218,168,0.0
older_adult1,1.0,18.0,826.2,1501.8126194844115,0,10950.165003869779,126,0.0
older_adult2,1.0,36.0,1652.4,823.9220222271194,2,20909.587637885637,252,146.71695039030578
older_adult3,1.0,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075487
older_adult4,1.0,24.0,1051.2,823.9220222271194,0,13981.975394153227,168,0.0
older_adult0,1.0,24.0,1051.2,1501.8126194844115,0,12135.374678174903,168,0.0
older_adult1,1.0,18.0,826.2,1501.8126194844115,0,10795.147986419177,126,0.0
older_adult2,1.0,36.0,1652.4,823.9220222271194,1,19279.97810377234,252,136.07806547371302
older_adult3,1.0,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.0,24.0,1051.2,823.9220222271194,0,13577.649670951487,168,0.0
older_adult0,1.0,240,1051.2,128.2860199559416,1,14541.127514789714,168,130.31991038518743
older_adult1,1.0,240,1226.3999999999999,562.994812359812,2,15670.682603598354,196,7.805314691079425
older_adult2,1.0,240,5508.0,902.1273320069768,4,74852.5352275016,840,780.8054546096414
older_adult3,1.0,240,1401.6,1073.8078755059726,2,17803.947107672815,224,116.77533912644935
older_adult4,1.0,240,10512.0,1187.2667023570664,7,145239.12923716474,1680,1375.4423166159074
older_adult0,1.0,8,350.4,1885.5655733613453,0,4601.325196176161,56,0.0
older_adult1,1.0,20,876.0,1137.7142314220403,0,11295.763965861106,140,0.0
older_adult2,1.0,6,262.8,701.6931464079447,0,3009.9034128860903,42,0.0
older_adult3,1.0,18,826.2,524.7512468291558,1,9979.312546173693,126,0.0
older_adult4,1.0,36,1576.8,935.370303106378,1,19300.506176848547,252,0.0
older_adult0,1.0,12,525.6,733.712304107051,0,5604.685440354095,84,0.0
older_adult1,1.0,13,569.4,438.31084106162837,0,7329.95884790014,91,0.0
older_adult2,1.0,12,525.6,1171.40607133681,0,6820.866007656778,84,0.0
older_adult3,1.0,12,525.6,1528.8573098353324,0,6850.984790070516,84,0.0
older_adult4,1.0,4,183.6,627.7982474520965,0,1691.5648375612784,28,0.0
older_adult0,1.0,8,350.4,423.80501229237984,0,4483.778302959696,56,0.0
older_adult1,1.0,48,2102.4,1094.2224122678429,1,25303.047587265763,336,124.41058514694231
older_adult2,1.0,8,350.4,365.56203841573097,0,4294.607384637975,56,0.0
older_adult3,1.0,4,175.2,1164.9359386918284,0,1894.4613193993086,28,0.0
older_adult4,1.0,6,275.4,525.0356046317298,0,2933.1957154825445,42,0.0
older_adult0,1.0,18,788.4,363.1359897924754,1,10226.839345565,126,167.12842864803105
older_adult1,1.0,4,175.2,610.5071497227487,0,1404.9299352495652,28,0.0
older_adult2,1.0,18,788.4,854.599802358114,0,9765.007734847552,126,0.0
older_adult3,1.0,48,2102.4,2005.0049243853268,0,27677.248306963775,336,0.0
older_adult4,1.0,38,1664.3999999999999,461.266006135354,2,21676.607695113296,266,12.089181307157816
older_adult0,1.0,12,525.6,1532.3015686783424,0,6266.3897402286475,84,0.0
older_adult1,1.0,48,2203.2,948.498280492172,2,30673.1085883384,336,217.75760974336853
older_adult2,1.0,8,367.2,1169.9629504469835,0,4669.954347895651,56,0.0
older_adult3,1.0,6,262.8,268.89298807199873,0,2856.3065682713077,42,0.0
older_adult4,1.0,24,1051.2,2565.762273181314,0,12821.084915921578,168,0.0
older_adult0,1.0,12,525.6,1532.3015686783424,0,6266.3897402286475,84,0.0
older_adult1,1.0,48,2203.2,948.498280492172,2,30673.1085883384,336,217.75760974336853
older_adult2,1.0,8,367.2,1169.9629504469835,0,4669.954347895651,56,0.0
older_adult3,1.0,6,262.8,268.89298807199873,0,2856.3065682713077,42,0.0
older_adult4,1.0,24,1051.2,2565.762273181314,0,12821.084915921578,168,0.0
older_adult0,1.0,4,183.6,332.4652704142501,0,2064.5307287325545,28,0.0
older_adult1,1.0,4,183.6,1024.5581845048828,0,2098.613066604167,28,0.0
older_adult2,1.0,12,525.6,845.1698665578099,0,6479.8459539841815,84,0.0
older_adult3,1.0,240,10512.0,786.2772504286268,7,142735.1422670352,1680,1341.5578203611838
older_adult4,1.0,12,550.8,1044.7798117313237,0,6537.065937071114,84,0.0
older_adult0,1.0,8,367.2,448.52795463162937,0,4245.821601737947,56,0.0
older_adult1,1.0,6,262.8,743.0758127246371,0,3287.8031268215686,42,0.0
older_adult2,1.0,36,1576.8,1081.0602858118655,1,20109.35754621414,252,124.41058514694231
older_adult3,1.0,240,10512.0,1148.4669742776719,5,144848.27102067316,1680,936.9863875342116
older_adult4,1.0,12,525.6,810.7275977676491,0,6227.433249663859,84,0.0
older_adult0,1.0,8,350.4,175.14875357882622,1,4479.279554305066,56,106.47794047984517
older_adult1,1.0,2,87.6,1579.6264504409214,0,1022.2785793173564,14,0.0
older_adult2,1.0,32,1468.8,1243.863648293736,1,19171.64925097166,224,118.71859759119982
older_adult3,1.0,30,1314.0,1258.2037867392644,0,17860.790750939042,210,0.0
older_adult4,1.0,2,87.6,632.1988749413754,0,779.0108897794757,14,0.0
older_adult0,1.0,8,350.4,175.14875357882622,1,4479.279554305066,56,106.47794047984517
older_adult1,1.0,2,87.6,1579.6264504409214,0,1022.2785793173564,14,0.0
older_adult2,1.0,32,1468.8,1243.863648293736,1,19171.64925097166,224,118.71859759119982
older_adult3,1.0,30,1314.0,1258.2037867392644,0,17860.790750939042,210,0.0
older_adult4,1.0,2,87.6,632.1988749413754,0,779.0108897794757,14,0.0
older_adult0,1.0,36,1652.4,956.4752355238908,0,22463.763897664336,252,0.0
older_adult1,1.0,18,788.4,77.16097826139809,0,10047.546044288976,126,0.0
older_adult2,1.0,8,350.4,2362.9966320129397,0,4440.612085155759,56,0.0
older_adult3,1.0,32,1401.6,878.3425677697792,0,16371.225635775605,224,0.0
older_adult4,1.0,2,91.8,1766.3657341680969,0,779.9551903814777,14,0.0
older_adult0,1.0,8,350.4,539.163010043945,0,4050.291342646564,56,0.0
older_adult1,1.0,12,525.6,1467.2229716977872,0,6166.027309630377,84,0.0
older_adult2,1.0,2,87.6,459.5083332174743,0,1025.2860924489585,14,0.0
older_adult3,1.0,8,367.2,85.11393803472247,0,4822.230546312366,56,0.0
older_adult4,1.0,24,1051.2,950.7502056311755,0,13724.829335385153,168,0.0
older_adult0,1.0,18,826.2,63.134924934927916,1,7473.003122534588,126,93.41131541994531
older_adult1,1.0,24,1051.2,317.5000432403107,0,11797.534200030686,168,0.0
older_adult2,1.0,12,550.8,460.1882262733176,1,6310.465694353242,84,29.963851514948885
older_adult3,1.0,8,350.4,1008.8073278351101,0,3566.532757672301,56,0.0
older_adult4,1.0,4,175.2,422.4593591095895,0,1628.069116563947,28,0.0
older_adult0,1.0,120,5508.0,823.5882498518912,2,76349.45206724078,840,395.92292680612456
older_adult1,1.0,32,1401.6,865.6396231913169,1,18554.762121522177,224,235.0384857853032
older_adult2,1.0,8,367.2,587.9136641886665,0,3656.2911963611996,56,0.0
older_adult3,1.0,260,11934.0,1234.66004146518,4,164147.64480906472,1820,1008.6754509160527
older_adult4,1.0,32,1401.6,1490.7687600962965,0,18463.93209033359,224,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,0,17438.34501429037,224,0.0
older_adult1,1.0,4,183.6,203.81784083881155,0,2273.733281794039,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,3752.7629093497762,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,1,12223.009120564288,168,106.63764441166484
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2268.525306515806,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2807.387812825361,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,13890.722473943424,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1815.8495323914085,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6516.355517568965,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2136.889062911822,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4028.3915243361134,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13283.973411704992,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2010.9739496611332,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,3304.9070032566474,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,14343.109150994042,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1883.1218699165765,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6946.136293307116,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,0,16460.965937073794,224,0.0
older_adult1,1.0,4,183.6,203.81784083881155,0,1773.571223398317,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,3866.489351471554,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,14049.818557289536,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,1734.380615922537,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,3365.158993075105,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12666.496925378733,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1883.2257703617124,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,5709.631801857775,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2071.60325777996,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4227.065691941046,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13343.086971236475,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2101.473087213737,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2174.567906303543,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12868.102101937035,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1679.4105107905352,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6897.167625506347,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2071.60325777996,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4227.065691941046,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13343.086971236475,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2101.473087213737,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2174.567906303543,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,12868.102101937035,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1679.4105107905352,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6897.167625506347,84,0.0
older_adult0,1.0,32,1401.6,58.42738049589385,0,18134.199626921007,224,0.0
older_adult1,1.0,4,183.6,203.81784083881155,0,1958.5208753422503,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4432.311751983614,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,1,12223.009120564288,168,106.63764441166484
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,1986.428428028485,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2837.8307428851303,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,13367.117387351649,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,1784.715423097457,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,5983.23908207129,84,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4651.097934390283,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,5340.750749418654,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,1746.2815801959225,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,4820.5460132088265,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,0,12056.099429143605,168,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4675.159249223547,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,4900.466379830378,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,2167.704110190442,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,3980.8015117909817,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,0,13556.882967020436,168,0.0
older_adult0,1.0,8,367.2,327.33782097192517,0,4747.748932901988,56,0.0
older_adult1,1.0,10,438.0,626.1347690325645,0,5542.646299683374,70,0.0
older_adult2,1.0,4,175.2,723.4429472118536,0,1991.897796364735,28,0.0
older_adult3,1.0,8,367.2,677.9561278549701,0,4801.7774305789135,56,0.0
older_adult4,1.0,24,1051.2,1025.9650367551899,1,12223.009120564288,168,106.63764441166484
older_adult0,1.0,32,1401.6,58.42738049589385,1,12334.011370039936,224,909.1577994817574
older_adult1,1.0,4,183.6,203.81784083881155,0,2164.2253693341427,28,0.0
older_adult2,1.0,8,350.4,677.9561278549701,0,4210.383314087316,56,0.0
older_adult3,1.0,24,1051.2,1025.9650367551899,0,13805.240529105553,168,0.0
older_adult4,1.0,18,826.2,291.8249364442328,1,10045.442807673746,126,66.85742808824598
older_adult5,1.0,4,175.2,226.2218419095716,0,2106.978136344081,28,0.0
older_adult6,1.0,6,262.8,937.9815443698158,0,2116.0003975215845,42,0.0
older_adult7,1.0,24,1051.2,1005.8264484896378,0,13160.18154460955,168,0.0
older_adult8,1.0,4,175.2,682.787977751482,0,2162.4512341014984,28,0.0
older_adult9,1.0,12,525.6,607.2915176668521,0,6382.386809520504,84,0.0
